Job post title;Firm name;Firm page;International students
Data Scientist Intern;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
Forensic Technology Intern;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
ICT Strategy Intern;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
Data & Analytics Intern;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
Data Engineer & Data Governance Intern;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
Data Science & Process Mining Intern;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
Appian & RPA Intern;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
IT Business Analyst Intern - Consumer and Industrial Markets;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
IT Business Analyst Intern - Financial Services;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
IT Business Analyst Intern - Microsoft Dynamics;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
Management Consulting Intern - Healthcare;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
Management Consulting Intern - Public Sector;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
Customer Strategy Intern;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
Supply Chain & Industry 4.0 Intern;KPMG;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=158;FALSE
Audit Intern;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
Junior Auditor;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
Junior Data Analyst;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
Junior Data Engineer;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
Technology Risk Consultant;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
Junior Legal Consultant;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
Junior Tax Consultant;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
Junior Accountant;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
Junior Consultant Software Asset Management and IT Governance;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
Governance, Risk and Compliance Intern - Financial Services;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
Governance, Risk and Compliance Intern - Healthcare&Public;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
Quantitative Financial Risk Management Intern;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
Data Scientist Intern;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
Forensic Technology Intern;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
ICT Strategy Intern;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
Data & Analytics Intern;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
Data Engineer & Data Governance Intern;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
Data Science & Process Mining Intern;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
Appian & RPA Intern;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
IT Business Analyst Intern - Consumer and Industrial Markets;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
IT Business Analyst Intern - Financial Services;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
IT Business Analyst Intern - Microsoft Dynamics;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
Management Consulting Intern - Healthcare;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
Management Consulting Intern - Public Sector;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
Customer Strategy Intern;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
Supply Chain & Industry 4.0 Intern;LabAnalysis;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=120;FALSE
Stagista dipartimento corporate M&A;Latham & Watkins;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=30;FALSE
Stagista dipartimento Banking & Finance;Latham & Watkins;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=30;FALSE
Manager di Negozio in Training;Leroy Merlin Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=57;FALSE
Performance Manager in Training;Leroy Merlin Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=57;FALSE
Stage Finanza;Leroy Merlin Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=57;FALSE
Marketplace Category Internship;Leroy Merlin Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=57;FALSE
Marketplace Sales Internship;Leroy Merlin Italia;https://cosp.careerserviceunimi.it/scheda-azienda.php?idAzienda=57;FALSE
